CMST_CASE_JUVENILE_REF,maincrime,crime,age,result,assist,Risk,Need,reci
520951,13,122,16,2,2,0.32,0.28,1
520952,13,123,17,18,2,0.34,0.32,1
520955,11,146,14,5,2,0.28,0.24,1
520958,13,123,16,18,2,0.27,0.26,1
520970,13,123,16,18,2,0.23,0.19,1
520971,13,123,12,18,1,0.27,0.24,1
520972,13,123,15,18,1,0.29,0.27,1
520973,13,123,12,18,2,0.31,0.28,1
520981,13,123,15,18,0,0.19,0.18,1
520982,13,123,13,18,1,0.36,0.35,1
520985,13,132,17,35,2,0.19,0.18,1
520987,13,123,17,18,2,0.28,0.28,1
520988,13,122,14,2,2,0.3,0.27,0
520989,13,123,17,18,2,0.15,0.12,0
520994,13,123,14,18,1,0.31,0.29,0
520995,21,89,17,36,1,0.25,0.24,1
521009,11,146,17,5,1,0.24,0.22,0
521010,13,123,17,18,0,0.3,0.3,0
521013,14,112,16,37,2,0.2,0.18,1
521016,21,89,13,36,1,0.23,0.23,1
521020,15,176,17,48,2,0.24,0.23,1
521022,13,127,17,24,2,0.25,0.24,0
521023,13,127,17,24,2,0.41,0.41,0
521041,13,122,17,2,1,0.25,0.23,1
521045,13,130,16,2,0,0.25,0.23,1
521048,13,122,15,2,1,0.39,0.34,0
521055,10,15,16,29,1,0.27,0.26,1
521070,13,122,17,2,1,0.21,0.19,1
521080,13,123,17,18,1,0.25,0.21,1
521082,13,122,17,2,2,0.15,0.13,1
521084,13,127,16,24,2,0.18,0.17,1
521085,10,52,17,37,2,0.32,0.23,0
521088,13,127,17,24,0,0.14,0.13,1
521089,21,89,17,36,2,0.18,0.18,1
521099,13,122,17,2,2,0.32,0.27,0
521101,10,48,17,31,2,0.25,0.24,1
521105,10,50,14,23,2,0.25,0.21,1
521106,13,129,16,16,2,0.24,0.23,1
521109,13,127,17,24,2,0.22,0.2,1
521114,34,103,15,29,1,0.42,0.41,1
521115,13,122,17,2,0,0.26,0.24,1
521116,13,132,15,35,1,0.22,0.21,1
521118,13,123,16,18,0,0.38,0.37,1
521122,13,127,17,24,1,0.25,0.24,1
521124,13,123,17,18,1,0.34,0.34,0
521125,21,89,16,36,0,0.13,0.12,1
521127,13,123,16,18,1,0.37,0.36,0
521132,13,123,17,18,1,0.31,0.31,1
521141,13,122,16,2,1,0.33,0.32,1
521143,13,122,16,2,1,0.28,0.27,1
521145,11,146,17,5,1,0.33,0.32,0
521149,13,122,16,2,2,0.2,0.19,1
521150,13,122,16,2,2,0.17,0.14,1
521151,13,127,16,24,2,0.3,0.3,1
521152,13,127,15,24,2,0.38,0.39,0
521154,13,122,17,2,1,0.28,0.27,1
521159,13,127,19,24,2,0.22,0.23,1
521160,21,89,15,36,1,0.3,0.3,1
521161,13,122,16,2,1,0.35,0.35,1
521164,13,122,17,2,1,0.33,0.32,0
521166,13,123,17,18,2,0.19,0.17,1
521167,13,123,16,18,2,0.26,0.24,1
521168,13,122,16,2,2,0.11,0.08,1
521171,13,125,17,19,0,0.36,0.34,1
521177,13,122,16,2,1,0.34,0.32,1
521179,13,123,17,18,1,0.24,0.22,1
521183,34,117,16,2,2,0.22,0.2,0
521190,13,123,17,18,2,0.24,0.23,1
521195,13,122,16,2,1,0.19,0.18,1
521200,3,107,15,37,2,0.19,0.17,1
521209,21,89,17,36,2,0.13,0.12,1
521219,10,104,17,32,1,0.38,0.36,0
521220,7,119,17,31,2,0.14,0.14,1
521226,3,107,14,37,1,0.39,0.41,1
521227,10,50,16,23,2,0.33,0.29,1
521228,13,123,17,18,1,0.34,0.32,0
521231,13,122,16,2,1,0.26,0.24,1
521237,13,122,16,2,2,0.28,0.27,1
521239,13,136,14,27,1,0.17,0.16,1
521241,13,136,17,27,2,0.17,0.16,1
521245,13,122,16,2,0,0.39,0.37,1
521251,13,123,17,18,1,0.31,0.3,1
521258,15,158,17,31,2,0.25,0.25,1
521266,15,42,16,31,2,0.11,0.11,0
521271,13,123,17,18,2,0.25,0.24,0
521273,34,117,16,2,2,0.24,0.22,1
521275,13,123,16,18,2,0.33,0.32,1
521276,34,103,16,29,2,0.25,0.23,1
521278,34,117,16,2,1,0.24,0.23,1
521279,34,103,16,29,1,0.39,0.38,1
521280,34,103,17,29,2,0.31,0.3,1
